Membership No  Date Joined  Active  
    91529      2019-12-25   no    
    92942      2020-1-15    no    
    39805      2020-11-16   no    
    74673      2020-6-5     no    
    22942      2020-4-3     no    
    57759      2020-8-21    no    
    12484      2016-2-12    no    
    85344      2020-11-6    no    
    42796      2016-5-12    no    
    18329      2017-3-5     no    
    23603      2015-11-12   no    
    72471      2017-4-8     no    
    96681      2017-6-6     no    
    34165      2015-11-4    no    
    96250      2015-10-3    no    
    93872      2016-5-9     no    
    33108      2017-10-21   no    
    66881      2018-3-18    no    
