Membership No  Date Joined  Active  
    61948      2018-4-6     no    
    33285      2017-3-14    no    
    35888      2018-5-15    no    
    51562      2019-9-18    no    
    52874      2015-6-22    no    
    49786      2016-6-19    no    
    77632      2015-6-12    no    
    46495      2019-8-12    no    
    96294      2017-4-6     no    
    74954      2020-4-25    no    
    60489      2015-9-24    no    
    93051      2016-3-21    no    
    85558      2019-11-4    no    
    39534      2016-8-15    no    
